Country,Year,AgriculturalLand,BodyMassIndex_M,BodyMassIndex_F,Cellphones,ChildrenPerWoman,CO2Emissions,DemocracyScore,EnergyUsePerPerson,Exports,Femalesaged25to54labourforceparticipationrate,Forestarea,GDPpercapita,Governmenthealthspendingperpersontotal,Hightotechnologyexports,Hourlycompensation,Imports,IncomePerPerson,Incomeshareofpoorest10pct,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,Literacyrateadulttotal,Literacyrateyouthtotal,Longtermunemploymentrate,Medianage,MedicalDoctors,Murder,Murderedmen,Murderedwomen,Oilconsumptionperperson,Populationgrowth,Populationtotal,Populationdensity,Poverty,Ratioofgirlstoboysinprimaryandsecondaryeducation,Renewablewater,Residentialelectricityuseperperson,Suicideage15to29,Taxrevenue,Teenfertilityrate,TotalGDPUS,TotalhealthspendingperpersonUS,Tradebalance,Trafficdeaths,UrbanpopulationTotal,Urbanpopulationgrowth,YearlyCO2emission
Mali,1968,26.00250781,20.8532175,20.8580525,3.007688776,6.875,0.033879245,-7,0,10.22256993,41.47142901,132810,167.053427,10.275658,5.746676683,0,18.09512266,1106.485671,0,0,196.6,21.08644744,0.536855156,31.086,9.433807008,19.64622759,0,18.26866667,0.049168965,23.46518135,41.58291245,7.839009285,0,1.491192699,5844286,4.712,0,61.8773,16021.36,0,0,13.90495215,195.025,976308004.4,23.62385867,-7.872552723,34.49703979,13.6412,4.04831473,198
Malta,1968,43.75,26.596575,26.4343175,22.36307912,2.11,2.098359793,0,1.535271674,75.16262903,21.57142871,3,6932.181169,698.3299295,58.94782552,0,84.97364549,6317.316502,0,0,27,2.976279468,25.0542907,69.971,0,0,0,29.857,1.872175506,1.003647797,0.745454788,0.859820604,0,-1.178478406,304047,962.174,0,95.7477,152.34684,1105.561046,0,26.46517227,16.73625,2551621777,1031.775132,-9.91426924,3.220545053,89.7494,-1.206552647,638
Marshall Islands,1968,73.61111111,27.05150625,28.44633,0.732096242,0,1.488109153,0,0.558035714,0,0,130,2227.83898,376.0341075,0,0,0,9947.147294,0,0,67.2,2.620095009,1.759576043,0,0,0,0,0,0.483666667,1.743935227,3.288936853,0.204657897,0,3.095128197,18965,104.779,0,100.918,0,0,0,0,0,108187138.4,443.5330323,0,12.4055109,49.1604,7.600700184,77
Martinique,1968,0,0,0,0,4.939,0.957565545,0,0,0,78.75714111,0,0,0,0,0,0,16038.4749,0,0,0,0,0,64.926,0,0,0,25.55166667,0,2.8705,0,0,0,0,321649,291.877,0,0,0,0,0,0,25.46666667,0,0,0,0,0,0,308
Mauritania,1968,38.34578442,21.63586375,24.35758125,9.076183108,6.795,0.219194802,-7,0,38.00216342,68.97142792,3170,577.1833292,17.62911211,0,0,21.94422523,3047.235037,2.54,28.975,111.7,-0.01158513,0.847833967,48.185,51.20767798,61.33664597,0,17.99533333,0.072239321,17.61217117,28.04096031,7.469454765,0,2.822326625,1070585,1.044,48.1775,85.48166667,7478.62,0,0,0,84.33333333,617923814.5,30.85768747,16.0579382,27.48722076,12.7744,10.08437912,234.6666667
Mauritius,1968,54.67980296,23.56671375,24.68251875,15.73171886,4.516,0.798169465,9,0.826180936,56.18401084,48.08571352,390,2925.30455,100.7497216,2.771103648,0,61.22550633,4525.242416,0,0,67.8,9.000146097,10.85557956,63.041,84.30308904,94.538963,0,22.298,0.660812877,8.366676,14.64653,2.623421,0,1.832286466,799329,391.828,0,97.32711111,2885.3872,0,3.944845,0,73,3325383610,223.8787482,-5.041495492,10.64098,40.0188,4.379779064,638
Mayotte,1968,43.24324324,0,0,0,7.91,0,0,0,0,0,160,0,0,3.003066891,0,0,0,0,0,0,0,0,61.068,0,0,0,17.17733333,0,0,0,0,0,4.780956011,34087,91.142,0,0,0,0,0,0,111.5,0,0,0,0,0,0,0
Mexico,1968,50.29398904,25.9938775,26.76318875,13.35109677,6.775,1.920166576,-6,1.355094368,7.037058326,43.1142867,667510,3356.690124,176.9783557,17.30301589,1.90000001,9.352493864,12073.28118,1.59,37.834,81.1,1.048836189,8.221819649,60.543,89.35105196,96.12655461,0.033333334,19.307,1.94325,25.47663,47.99043,3.951137,0.353343722,2.842493797,48943844,24.994,15.28,95.4055,6751.36655,253.252572,2.84777,11.34550317,88.2,1.64E+11,387.1257526,-2.315435538,9.791229,57.385,4.27821068,93980.33333
Monaco,1968,0,0,0,18.07501064,0,0,0,0,0,0,0,71641.39825,3629.21009,0,0,0,36885.16447,0,0,3.585714286,3.958095909,53.97502004,0,0,0,0,0,2.502399981,0.923907518,1.212642789,0.646388113,0,0.81245045,23234,15593.289,0,0,0,0,0,0,0,2226744342,4123.025733,0,10.33135319,100,0.81245045,0
Mongolia,1968,90.55524087,23.95053375,25.0032775,9.955370753,7.584,2.052113826,-7,1.247808176,41.55535464,71.52857208,117170,526.2224796,32.3436162,0.574052378,0,59.35984567,2525.037794,0,0,54.5,33.2116526,4.587937584,54.285,97.7688517,97.71011943,0,19.528,2.097107764,3.251965523,5.938878536,0.616379619,0,2.853631597,1209647,0.772,0,107.3482,20646.74,215.9165325,0,14.06142241,22.33333333,1229334202,48.33141827,-17.80449104,42.3170166,43.8768,4.201884129,2482.333333
Montenegro,1968,38.14126394,25.85315875,25.6820925,130.6095977,2.773,7.867320422,-7,1.311374238,39.22345068,0,5430,1865.414382,190.8473699,0,0,67.76525644,11963.76662,0,0,10.4,6.799995813,29.1250343,68.707,0,0,0,27.69033333,0,0,0,0,0,0.259074567,514031,37.216,0.3,104.3645,0,0,0,0,19.66666667,1174153593,269.9059551,-28.51241902,0,25.1382,3.729343265,4950
Montserrat,1968,0,0,0,0,0,0.627155848,0,0,0,0,0,0,0,0,0,0,11046.7448,0,0,9.858,0,0,0,0,0,0,0,0,0,0,0,0,0,11693,114.637,0,0,0,0,0,0,26.9,0,0,0,0,0,0,7.333333333
Morocco,1968,56.5443384,24.39041875,24.9255575,12.46506441,6.871,0.388090073,-9,0.301129415,18.48384174,27.35714286,50170,731.6628522,28.4109682,6.94417163,0,20.05436424,3525.238288,0,0,124.7,-2.277979864,11.35185036,51.808,53.72708953,74.16027775,0,19.49633333,0.276871148,1.244666934,2.07301569,0.466429353,0,2.826674781,14502647,32.477,0,68.34144444,1464.715,99.57552221,0,23.72264798,21.8,10661780838,87.85269077,-1.570522501,22.31610298,33.431,4.403457173,5628.333333
Mozambique,1968,59.53864544,20.947095,21.67884875,2.611310496,6.599,0.307340774,-1.888888889,0.482362806,16.31805168,92.07142966,411880,220.9770234,9.538271618,7.505731728,0,35.19158134,1231.797992,0,0,177.5,27.67866426,0.588020836,38.383,27.1017784,43.6443638,0,18.27833333,0.030630931,25.61878204,43.75837326,10.08670998,0,2.192956189,9043165,11.282,87.17,76.7064,18572.4115,18.90035147,0,0,154.3333333,3802511964,13.71528996,-18.87352966,32.36027908,5.3112,6.706621847,2779.333333
Myanmar,1968,16.47642072,20.31430375,20.906075,0.113888767,6.074,0.117371931,-7,0.290427497,5.524032807,77.79999978,348680,0,0.673055693,0.083068851,0,8.104054512,1382.977758,0,0,120,1.692843696,0.122168696,49.75,89.94176457,94.58631256,0,21.757,0.295953703,16.31876755,27.99923325,5.150617599,0,2.283334063,24960539,36.892,0,93.7715,31488.4915,18.80905925,0,3.808919263,20.55,0,5.37869952,-2.580021704,17.34100342,22.0864,3.981052974,2929.666667
Namibia,1968,46.94457603,21.5634225,23.81429625,7.391802253,6.347,1.051098488,6,0.565159891,53.20828163,65.14285769,80320,2155.996386,109.5854769,2.717926761,0,59.08756377,7453.237918,0,0,62.9,14.30484896,2.69687277,51.489,0,0,0,18.37033333,0.265800001,15.81996918,26.61717796,6.044128895,0,2.633997045,737803,0.895,51.1,104.431,16637.0476,0,0,27.39118567,78,3498477551,186.3475522,-5.975700224,25.37347221,21.3892,4.766995435,2102.466667
Nauru,1968,0,31.112025,31.788645,0,0,7.637664905,0,0,0,0,0,0,345.8313317,0,0,0,11729.16212,0,0,34.71666667,0,0,0,0,0,0,0,0,12.57899666,4.364447117,19.82779503,0,0,6241,297.19,0,0,0,0,0,0,88.1,0,436.3190203,0,26.21061516,0,0,47.66666667
Nepal,1968,24.79020979,20.7397675,19.5789775,1.667685009,5.988,0.022186548,-9,0.312201494,6.845113437,54.64285769,39000,141.6685021,4.448908723,0.011031168,0,7.500348328,1336.970755,3.04,35.855,187.8,11.06582674,0.477801162,41.64,0,0,0,19.17833333,0.064915636,16.85650063,28.49683952,6.279931545,0,2.148026342,11403306,77.478,88.97,47.8495,13516.53,14.65685159,0,8.670856856,112.3333333,1615489280,0,-0.655234891,18.0339222,3.8684,3.286736164,253
Netherlands,1968,65.96563981,24.89564625,24.64238875,36.48442329,2.72,8.961089164,10,3.042743435,40.93762636,59.09999956,3600,11617.6105,2213.824515,24.37853775,18.54428577,40.49260681,28884.97206,0,0,13.5,4.196662444,42.15457841,73.63,0,0,2.975000024,32.50466667,1.2,0.4091909,0.5969287,0.221982,2.376454139,1.038546961,12670558,305.109,0,97.2158,6422.05,547.8530383,3.515973,22.36669167,21.375,1.48E+11,3276.871746,0.445019554,21.50638,61.299,1.335893932,113542
Netherlands Antilles,1968,0,26.10827125,28.0472125,0,3.23,28.44591478,0,0,0,62.57142912,0,0,0,0,0,0,18823.63378,0,0,0,0,0,68.411,95.10354766,96.98057948,6.099999905,26.275,0,6.831,0,0,0,0,154502,193.127,0,0,0,0,0,0,40.1,0,0,0,0,69.7,0.484991091,5331.944445
New Caledonia,1968,14.38730853,0,0,17.41571244,5.28,18.66480087,0,0,14.52838077,54.09999956,8390,8032.850026,0,1.119686881,0,29.71431897,44740.11111,0,0,0,4.760261057,19.59837469,61.334,0,0,0,23.31433333,0,0,0,0,0,3.196767224,98617,5.309,0,0,0,0,0,0,19,804763047,0,-15.18593819,0,48.5976,5.944598793,1840.666667
New Zealand,1968,60.15722912,26.343365,25.75987875,26.51021239,3.02304,4.924955237,10,2.33983152,29.14934704,66.74285725,82660,12535.62594,1427.070356,7.387477161,8.551428659,28.94808438,28558.24578,0,0,17.5,5.462333243,37.91577615,71.18,0,0,1.220000011,29.891,1.8,0.7289011,0.9210022,0.5266685,1.187963769,0.877166547,2738299,10.122,0,101.0184,102279.395,2129.052968,5.613302,29.74307957,66.13,46201713983,1780.837566,0.201262658,20.30523,80.22,1.430928345,13486
Nicaragua,1968,29.74904437,24.80427375,25.89042,7.869735991,6.941,0.545905707,-8,0.524289785,26.68486856,45.87142781,38140,1667.311201,39.48032285,3.190020412,0,30.39229764,9118.880982,0,0,121.5,4.489959326,2.171243597,52.336,0,0,0,17.15933333,0.465904609,13.14979845,31.38375664,4.169748783,0,3.019292296,2256800,17.36,0,107.5097143,61189.1085,118.5518491,0,15.8800288,136.35,2900067094,71.01928635,-3.707429076,16.76382446,45.3008,4.946316278,1232
Niger,1968,25.40222626,20.77912625,20.91486625,1.613933115,7.341,0.03916524,-7,0,7.977598564,44.99999945,13280,334.9259792,4.801736345,9.022006273,0,14.31272676,2080.251568,3,29.44,131.2,-3.419814238,0.231808583,36.073,0,0,0,16.03833333,0.021049895,26.87460136,45.07884216,7.875196934,0,2.993629207,4119299,3.251,83.16,57.490375,5756.3385,0,0,0,218.625,1379660251,10.14187377,-6.335128198,39.79191589,8,8.08349275,161.3333333
Nigeria,1968,76.14436136,21.81620875,22.72276625,5.394406619,6.387,0.121154128,-7,0.707461246,9.927321669,47.64285769,131370,232.8588716,15.91412644,0.891700846,0,15.73620458,978.6826141,2.01,34.87,174.4,1.22054697,4.304762857,40.4,51.07765836,66.38354494,0,18.057,0.195829607,21.39646149,34.86672211,8.407892227,0,2.261788128,54748444,59.266,83.31,76.56,3962.775,42.8954262,0,0.254715922,123.6666667,12748660891,48.11271087,-5.808882907,29.38738823,21.6668,4.689150732,6633
Niue,1968,0,0,0,0,0,1.536421048,0,0,0,0,0,0,878.5157503,0,0,0,0,0,0,52.1,0,0,0,0,0,0,0,0,1.01415503,1.788364649,0.194336921,0,0,5239,20.15,0,0,0,0,0,0,45.5,0,886.6889178,0,7.569135189,0,0,3.666666667
North Korea,1968,0,0,0,0,0,4.412465522,0,1.297737436,0,0,0,0,0,0,0,0,0,0,0,58.6,0,0,0,0,0,0,0,0,0,0,0,0,2.989037266,0,111.537,0,0,0,0,0,0,0,0,0,0,0,50.5564,6.659066733,59323
Northern Mariana Islands,1968,7.065217391,0,0,5.719152025,0,0,0,0,0,0,320,0,0,0,0,0,5834.354247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.603695733,12318,26.547,0,0,0,0,0,0,74.33333333,0,0,0,0,65.5408,7.11373228,0
Norway,1968,3.266728014,25.64870125,24.7102875,35.49002541,2.75,5.539247465,10,3.052896565,37.86115793,78.55714307,93010,14189.74105,4130.464225,14.60070841,21.21142837,35.61532801,15456.44256,3.859976825,23.37598781,14.2,4.423876853,48.17254088,73.96,0,0,0.533333344,34.836,1.4,0.5577922,0.8148175,0.3208178,1.753097795,0.840602106,3816102,9.908,0,100.7177,93108.66,3806.672169,4.562497,27.83594324,42.959,54154948070,4960.73217,2.24582992,12.81931,62.2648,3.387176074,21138.33333
Oman,1968,3.360258481,24.63565375,25.9121075,18.23742071,7.286,0.235216817,-10,2.337845114,70.13977128,24.78571401,20,3191.598135,258.5668722,3.0024215,0,14.73951715,8348.983868,0,0,168.2,11.51658116,7.569818397,48.858,86.62114302,97.62982154,0,18.50966667,0.929316488,2.039650917,2.418557405,1.225739837,0,2.939897935,685892,2.216,0,66.13825,1224.17,1025.81526,0,7.230196331,17.33333333,2189091628,322.3929267,55.40025413,13.51552677,26.7342,8.577219085,161.3333333
Pakistan,1968,31.43809672,21.84813875,22.6191975,6.229497721,6.6,0.591086143,1,0.380084992,9.159165928,15.22857135,21160,261.5648227,4.73676225,0.679644803,0,14.7708518,981.7547938,0,0,145.2,1.898539903,4.389104238,52.405,55.526367,71.11291,0,19.69866667,0.428148957,5.146722317,6.089199543,4.172894955,0.087739241,2.660704787,56257610,70.667,60.19,52.53485714,2737.8445,92.90998136,0,11.4085267,61.75,14715011785,17.37282725,-5.611685874,15.00751495,24.2946,3.741662175,73934.30001
Palau,1968,10.86956522,27.77347125,28.8977975,38.74632814,0,7.935611608,0,0,43.444153,0,400,6384.075469,607.7751757,0,0,81.5985434,24065.49605,0,0,22.01,4.701459263,26.97033263,0,91.92141563,94.27577853,0,0,1.58,0.844825149,1.531196237,0.168816388,0,1.121741919,11206,24.414,0,100.0825,0,0,0,0,47.975,119064426,799.6288416,-38.77064955,8.075592041,59.1394,1.609576704,148.8666667
Panama,1968,22.58541835,24.7932875,25.74537875,18.74120127,5.378,1.416911721,-7,0.838351488,81.17576048,50.91428484,33690,2508.044703,240.0168799,1.845841789,0,74.10476651,4607.852306,0.81,42.69666667,54.1,0.609691638,12.93391439,64.593,89.98567597,96.09302399,2.599999984,20.90333333,1.168045583,7.7175188,13.745542,1.5830302,0,2.922640806,1425871,18.881,17.94,100.318125,75940.902,313.3748139,5.6589572,11.48730912,104.7833333,3576148209,350.9371592,6.564777393,16.396532,46.3564,4.316804865,2020.333333
Papua New Guinea,1968,1.291789957,23.49444125,23.377715,1.595950397,6.208,0.217180333,4,0,18.85964494,78.67142923,301330,585.2838418,27.39916474,39.94315536,0,40.07386,1543.6843,1.9,40.86,105.2,5.249289475,0.873807274,44.499,57.3432559,66.67899393,0,18.35966667,0.055066666,19.13257217,32.24187851,5.867197037,0,2.368136564,2312978,4.997,57.38,75.05275,241772.86,0,0,19.90776924,69.33333333,1353748650,33.88924818,-21.21421506,19.57776451,8.0656,13.715289,502.3333333
Paraguay,1968,28.23307324,24.41334,24.68574,15.47054108,6.041,0.250345763,-8,0.670989538,12.35536443,66.82857186,193680,748.3209841,48.54972972,3.711710035,0,16.77181678,2318.866664,0,0,58.5,1.861864347,4.622607189,65.17,91.78195443,96.78578817,0,18.28533333,0.760989766,14.70495,26.56173333,2.664450667,0,2.662446514,2358072,5.797,15.435,97.15128571,102007.72,278.2771709,5.225068333,11.20203911,85.75,1764594760,121.8249962,-4.41645235,9.399675333,36.7362,3.110965845,590.3333333
Peru,1968,13.890625,23.7781175,25.5548725,10.49809044,6.515,1.162590212,-7,0.542775422,18.60249867,57.72857121,692130,1997.485076,84.75226321,3.437875895,0,19.38917184,5568.881524,1.52,35.26,107.4,18.0573224,11.9981658,51.969,87.6698485,96.75562539,0,20.01833333,0.825623274,2.82213174,5.604457855,1.34805274,0.36653459,2.783033861,12473584,9.705,19.27333333,96.85125,110830.295,193.7159058,0,13.41074655,78.84,24915797888,142.1643475,-0.786673167,15.75574398,55.1908,4.810300975,14501.66667
Philippines,1968,27.76436666,22.04492625,22.34074,13.8409633,6.485,0.664876953,5,0.459147252,16.90296631,56.44285692,71170,800.5564433,16.97583262,59.50495266,0.849999979,19.49053126,1848.05358,2.565,34.225,56.3,6.40814438,3.375456919,60.27,90.44579849,94.87651112,0,18.66533333,0.500594561,14.7863214,27.08573796,2.645456515,0.175801722,2.916866099,33463836,111.546,50.875,101.838,9927.825,110.1803072,2.0067035,14.1262833,56.50555556,26789689529,43.71773514,-2.587564941,9.119969493,32.429,3.768488545,22249.33333
Poland,1968,64.91072601,25.69489,25.72964625,21.51343154,2.26,8.624109048,-7,2.290229111,29.69904661,77.32857295,90590,4456.940822,333.4406993,3.482693483,3.324999928,32.25234089,6900.037897,3.45,26.48,34.3,14.19617278,18.87590375,70.25,99.61789,99.99986,6.175000071,30.469,1.4,0.991339,1.515063,0.4974545,0.238058425,0.956732069,32008949,99.022,2.542,99.4696,1731.195,108.6201508,10.54062,16.99976263,19.42,1.708E+11,467.7246158,-2.553294286,11.41926,51.3254,1.738733297,276048.6667
Portugal,1968,42.76502732,25.69613375,25.4682725,33.78960131,3.093,1.491455771,-9,0.497129003,20.96030146,69.78571374,34200,3938.007635,1014.757978,5.775806543,3.968571373,24.53456451,6918.30301,0,0,60.1,1.672809046,18.72269008,66.91,0,0,2.400000024,32.10433333,1,0.8989838,1.457072,0.4518459,0.394608289,-0.427640384,8722574,94.829,0,97.40475,7361.875,102.4863407,5.035262,20.54964912,31.566,34798817118,1540.787571,-3.574263047,18.26487,38.0288,0.596816838,13009.33333
Puerto Rico,1968,63.81059752,26.37846,28.02956875,17.96490924,3.377,0,0,0,47.17951168,44.14285687,4640,6043.083402,0,0,0,62.21876856,7191.445931,0,0,60.5,7.213590364,17.66645291,70.907,88.64091766,91.22140511,0,25.06866667,0,18.57837255,0,0,0,0.617605929,2661527,299.89,0,0,2258.12,0,0,0,66.52,16087074773,0,-15.03925689,0,55.6036,3.09611166,0
Qatar,1968,4.400345125,26.362865,27.7701775,28.27017226,6.973,76.69421607,-10,14.85991598,56.50396087,42.19999995,0,31882.43643,887.3751024,0.007753662,0,29.8673573,61119.01586,0,0,25.64166667,17.11450386,17.69887822,67.039,91.47606111,95.80385101,0,25.164,1.26,0.931163013,0.844330788,1.605174422,0.99654459,7.638277922,92319,8.393,0,104.3197778,274.10975,4529.676826,0,21.06702268,25.34,28641286595,1153.124747,27.12993084,19.76734543,87.9232,7.899528405,7080.333333
Romania,1968,64.99956586,24.83440625,25.17375375,19.04896578,3.610619469,5.073838686,-7,2.294370377,31.10695541,78.57142966,63660,2015.411971,166.2098199,3.793394187,0,39.89495309,6461.499881,3.52,21.885,71.8,45.47341826,12.8599295,67.747,96.70998266,99.10746203,2.900000095,31.29866667,1.646381199,3.611769,5.33813125,1.945354,0.449035281,1.350447671,19744551,82.824,6.9,99.21816667,9716.378,282.9686186,7.2326424,15.09487185,51.36333333,44978914691,213.6170519,-8.787997679,14.3535275,39.2702,2.69480754,100180.6667
Russian Federation,1968,13.26346246,25.16727,26.6947575,21.42577879,2.038,11.80568458,-7,4.639895175,39.63678957,88.42857143,8092690,2154.90183,162.3366992,11.28271169,0,27.67497476,9176.975335,2.84,27.46,21.62727273,322.4320415,8.442935415,69.26,0,0,1.5,31.717,4.044080016,19.9772415,31.60330333,9.184764167,1.113462971,0.569202598,129102954,7.561,3.7175,97.918,30184.549,890.257405,30.390735,14.52604661,31.78571429,3.13E+11,253.9238217,11.96181482,21.04854286,60.7518,1.994245778,1728385.267
Rwanda,1968,56.05999189,21.91758375,21.22526125,1.691793196,8.207,0.015598023,-5,0,8.739836117,94.42857143,3440,194.8154958,9.147305063,9.12568675,0,15.13937162,531.6154808,2.09,37.8,123.6,0.848491748,1.248642269,44.165,64.88859517,77.62033288,0,16.553,0.029819548,34.3848381,61.23154449,11.64408112,0,3.028828999,3526088,133.878,89.06,93.913375,1900.54,0,0,9.048258736,42.66666667,688319669,19.63500855,-6.399535501,38.68658447,3.0228,5.86746952,55
Saint Helena,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1863.190202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4791,0,0,0,0,0,0,0,32.3,0,0,0,0,0,0,0
Saint Kitts and Nevis,1968,57.14285714,26.6015125,28.46161625,0,0,0,0,0,0,0,110,0,0,0.479063935,0,73.31097265,2752.473752,0,0,0,0,0,0,0,0,0,0,0,11.32761383,23.21193695,0,0,0,46398,0,0,0,561.06925,0,0,19.88054161,70.23333333,0,0,-22.86931878,13.59305668,0,0,0
Saint Lucia,1968,31.14754098,23.66798125,25.61723875,0,6.387,0,0,0,0,54.72857121,470,0,0,8.142089698,0,74.05131088,2880.110775,0,0,0,0,0,61.962,0,0,0,19.82066667,0,17.26295009,39.6436882,5.971886158,0,0,101385,0,0,0,0,0,0,0,70.9,0,0,-13.25984905,18.64307404,0,0,0
Saint Vincent and the Grenadines,1968,28.20512821,24.0960025,25.6860825,0,6.345,0,0,0,0,54.22857176,260,0,0,0.010443551,0,71.11171042,2129.525746,0,0,0,0,0,64.29,0,0,0,18.94333333,0,14.74238321,29.45675087,3.775053501,0,0,88623,0,0,0,0,0,0,22.07636156,72.98,0,0,-18.48618059,8.782874107,0,0,0
Saint-Pierre-et-Miquelon,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,1968,27.20848057,28.052375,30.21739625,8.724806636,7.334,0.214337211,0,0.311632229,33.31095641,56.39999989,1710,1388.948945,85.72917335,0.330158568,0,54.57265651,3451.459727,0,0,31.64,8.632017807,2.891179086,53.774,98.55447,99.38201,0,17.829,0.377860357,1.035062551,1.890834451,0.095902108,0,2.362253443,136856,48.342,0,102.4202,0,0,0,0,33.66666667,236131688.7,105.5057214,-21.10595565,8.599116325,19.9322,3.423442601,29.33333333
San Marino,1968,16.66666667,0,0,40.38271861,0,0,0,0,0,0,0,21620.5211,2591.415928,0,0,0,16958.46398,0,0,5.125,7.750434402,38.82847838,0,0,0,0,0,2.254666646,0,0,0,0,1.961219998,18588,304.721,0,0,0,0,0,21.48151214,2.6,553307625.3,3015.27789,0,9.910824776,57.6408,3.851961249,0
Sao Tome and Principe,1968,37.5,22.17636375,23.03696625,4.079302129,6.419,0.210588787,0,0.252809176,14.93760826,52.25714329,270,543.9990393,27.9005064,0.044979683,0,0,1440.23876,0,0,57.6,17.42163304,11.14712317,54.71,69.53638509,80.20315973,0,19.69966667,0.404556909,6.294122219,9.884960175,2.935796976,0,2.927009798,69646,72.247,0,98.93275,23190.4065,0,0,0,74.66666667,0,73.63585965,0,30.70319366,26.444,8.915049899,14.66666667
Saudi Arabia,1968,40.16393061,26.4085475,27.88643,37.01564938,7.267,5.460912539,-10,3.999470134,47.7336861,22.17142868,9770,6961.583877,270.8458823,0.469650459,0,24.71525518,17910.56394,0,0,52.11666667,10.05655039,12.11798937,50.743,77.67677864,93.20615255,0,19.22466667,0.790034765,3.138149738,3.963818312,1.924721479,3.768478124,3.672501919,5329207,2.479,0,93.903,261.635,2258.862946,0,0,19.33333333,37099721527,407.0698705,23.01843091,26.34977531,44.709,8.202199621,29102.33333
Senegal,1968,47.35365917,21.01862375,22.7199775,6.551850639,7.266,0.421426052,-7,0.260105434,19.74391539,68.05714089,88980,579.6719036,17.08497357,4.956678553,0,25.0798183,1668.22492,0,0,123.5,-0.542368635,3.850307421,38.558,26.86885372,37.8661034,0,17.72266667,0.064705691,17.15166855,27.21849632,7.373680592,0,3.128044493,3843517,19.538,0,73.90277778,6466.58,25.2731461,0,15.19017634,128.2,2233798443,38.57057346,-5.335902905,27.43566132,28.5404,5.718382931,3010.944444
Serbia,1968,57.80928424,25.98473,25.82021625,83.23177868,2.418,5.286125766,-7,2.093457132,26.14243571,0,24600,946.1906748,184.8503534,0,0,49.41261422,8091.852627,0,0,16.475,34.06612726,35.20884141,66.946,0,0,0,31.70133333,0,2.0766205,3.150113,1.03267445,0,0.507431317,8054147,91.15,0.895,101.643,0,1433.819624,8.366194667,23.11100986,29,7114603130,284.0532826,-23.27017851,7.464359,37.5272,0.378050084,52022.66667
Seychelles,1968,10.86956522,23.79782875,26.29833625,23.26825126,5.9,0.148043471,0,3.103030303,75.99607211,0,410,2548.722167,338.8131018,1.295883969,0,82.26932848,6044.751327,0,0,59.2,3.398071576,17.9803597,64.757,0,0,0,0,1.04858353,3.226769209,5.472403526,0.845859349,0,2.42122626,49535,108.868,0,103.6342222,0,0,0,27.97714982,59.9,130326155.4,381.5867178,-5.708244835,10.57620716,36.69,5.71556374,7.333333333
Sierra Leone,1968,37.05668808,21.85190625,22.46537,2.282942749,6.583,0.153900273,1,0,23.68277429,81.00000109,29220,250.8657012,3.533904945,27.64816666,0,26.84775334,1304.023132,0,0,194.1,6.666997717,0.143442011,33.098,34.82679013,47.92760841,0,19.793,0.049800052,39.78190994,71.17311096,9.830337524,0,1.781510891,2501620,34.871,0,57.97825,47980.645,0,0,9.851745683,150.875,627570655.5,34.24854014,-3.164979052,57.27065659,22.1284,4.696827048,385
Singapore,1968,17.91044776,23.34884375,23.344125,39.57918611,3.582,2.711496927,-2,3.77732668,125.7203769,57.24285616,20,3689.697544,353.36356,53.91320378,4.96285711,131.2037228,5566.626571,0,0,24,1.379505262,34.71508211,67.479,87.72772546,97.8963576,0,25.94966667,0.932528272,1.598621,2.827966,0.246454,3.504865784,1.704301904,1998650,2926.281,0,0,233.62,851.7724859,10.18156,14.65301075,6,7423671459,925.3636064,-5.483345941,22.88059,100,1.704301904,5419.333333
Slovak Republic,1968,45.50415801,26.13063625,26.1569675,22.66932099,2.541,7.472020542,0,3.574567235,64.04339523,88.91428484,19210,5671.672015,443.776838,4.387555132,0,68.08417839,8777.18413,4.453333333,19.02333333,14.93,5.915813711,32.47175587,70.5,0,0,8.966666857,29.88133333,3.16,1.94868925,2.71746625,1.216852025,0.701067418,0.773470987,4444651,90.646,0.392,101.02075,0,676.3157876,8.7655135,14.66767907,41.45,30225381987,606.2302036,-4.059469019,13.9966625,39.4514,2.829369263,40251.93333
Slovenia,1968,25.72989076,26.39944375,26.3397,28.64922275,2.312,7.506690856,-7,3.277237334,58.33995781,83.85714286,12330,10200.13248,980.9141472,4.860125806,0,58.73776043,9523.351327,3.38,24.64,10.32,46.41662235,29.71280432,69.261,99.65247,99.82697,0,33.00133333,2.074914285,1.68223776,2.1937924,1.17176506,0,0.884959963,1652157,81.564,0.1,101.25425,0,1377.864223,17.28676667,19.98232139,17.42371429,20405934021,1328.065473,-0.397802625,17.235136,35.2012,3.479024931,14905
Solomon Islands,1968,1.964987496,25.615445,26.38776125,0.767773825,6.655,0.238095238,6.625,0.12693716,32.96498243,64.71428517,22680,1157.597211,49.29281159,0,0,53.19694323,1324.794265,0,0,86.3,9.433992279,1.099913266,53.227,0,0,0,17.69966667,0.17167034,1.211966634,1.717048407,0.687975287,0,3.067856035,154000,5.192,0,88.94133333,196759.05,0,0,0,70,473532069.8,53.41998007,-20.23196081,7.180696011,8.2482,7.20654841,36.66666667
