Country,Year,AgriculturalLand,BodyMassIndex_M,BodyMassIndex_F,Cellphones,ChildrenPerWoman,CO2Emissions,DemocracyScore,EnergyUsePerPerson,Exports,Femalesaged25to54labourforceparticipationrate,Forestarea,GDPpercapita,Governmenthealthspendingperpersontotal,Hightotechnologyexports,Hourlycompensation,Imports,IncomePerPerson,Incomeshareofpoorest10pct,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,Literacyrateadulttotal,Literacyrateyouthtotal,Longtermunemploymentrate,Medianage,MedicalDoctors,Murder,Murderedmen,Murderedwomen,Oilconsumptionperperson,Populationgrowth,Populationtotal,Populationdensity,Poverty,Ratioofgirlstoboysinprimaryandsecondaryeducation,Renewablewater,Residentialelectricityuseperperson,Suicideage15to29,Taxrevenue,Teenfertilityrate,TotalGDPUS,TotalhealthspendingperpersonUS,Tradebalance,Trafficdeaths,UrbanpopulationTotal,Urbanpopulationgrowth,YearlyCO2emission
Austria,1952,43.405094,25.58036,24.48609125,34.88183144,2.061,3.188072669,10,2.966939182,36.1454919,67.47142791,38380,16874.17662,2659.737802,11.17628571,17.60142851,35.02288522,18411.22948,3.345601218,23.04538597,52,3.325248576,33.70645887,66.8,0,0,1.299999992,36.138,1.890909091,1.201481908,1.3831912,1.028276992,1.453113591,0.366720387,6929474,82.633,0,94.76975,10103.815,1210.258098,15.6945065,19.89441673,33.56,1.31803E+11,3499.755298,0.100567224,21.36402677,65.60875385,0.438134583,22091.66667
Azerbaijan,1952,56.05581337,24.7943475,26.61228625,10.64344095,5.505,5.02058546,-9,1.757272733,53.86519494,82.9714301,9360,1026.579299,16.80687682,2.479389862,0,48.94115273,4322.023901,0,0,56.75,228.0577871,5.862177514,57.754,0,0,0,23.08766667,3.742579976,13.67445035,25.11227474,2.93054778,0.785106124,1.809258725,3044695,35.158,2.81,98.9904,4652.3771,1296.938435,1.919739075,15.85377533,34.6,8460851749,92.5656999,4.92404222,9.489263606,51.84573846,1.910574845,40742.53333
Bahamas,1952,1.148851149,25.6994825,27.50620625,19.96909005,4.021,0.945643898,0,2.109684532,52.45768241,77.18571472,5150,17525.72536,584.4697647,2.269428499,0,53.37738698,14695.80152,0,0,22.62307692,3.250227379,15.82173767,59.824,0,0,4.900000095,21.78133333,0.973718798,22.86083541,36.43335342,9.057776451,0,2.409691825,81426,5.867,0,99.69375,93.8745,0,0,14.7260195,52.4,4159279750,1288.251938,-0.902307169,22.00443649,74.1474,3.124645919,77
Bahrain,1952,11.73385793,25.80464375,26.88756875,30.59225861,6.973,10.76383952,-9.2,8.647513466,95.81428769,33.87142863,4.6,11552.4509,420.1869333,1.501811775,0,83.86824126,19734.16953,0,0,47.1,4.753171471,20.10141682,42.459,0,0,0,22.69233333,1.016366106,0.964839171,1.227585006,0.531328751,0,4.105543071,119567,172.287,0,93.93044444,354.68085,4649.399854,4.225476,4.903385928,18.02,6951091302,609.12498,11.94604643,12.43672228,86.17072308,4.373587188,1287
Bangladesh,1952,74.41102661,20.26877375,19.2202525,3.656695058,6.331,0.164279382,0.3,0.126000287,9.303097598,62.38571385,14680,305.4721453,32.84658365,0.168514829,0,16.13655084,1368.488343,4.216666667,24.91,225.4,2.796790376,0.923358586,43.376,0,0,0,19.02233333,0.188749999,9.665283203,13.84824753,5.428161621,0.02101098,2.221880469,40207573,279.223,88.3475,59.373,13362.2731,23.39367556,0,8.464810448,138.25,30757421274,0,-6.780100341,17.75008774,15.89323077,5.67915007,19525
Barbados,1952,44.18604651,25.2588,27.8490025,21.50214814,4.429,0.400752321,0,1.389161576,57.89487383,81.92857143,80,7216.042595,453.2519704,15.73404533,0,62.9221698,7164.528737,0,0,145,5.046145965,30.16578564,56.95,0,0,8.933333079,26.69433333,0.610066071,11.5957593,24.49023438,5.092540264,0,0.333699403,219587,510.667,0,105.4784286,311.072,0,0,33.15248161,47.75,1848542591,688.9498498,-6.117288839,12.862216,37.69069231,0.775540076,88
Belarus,1952,45.20675219,25.24789375,26.18083,11.91094791,2.595,6.409661261,-9,2.851259424,60.73419489,91.52857099,82730,1537.911394,118.1910966,3.036504492,0,64.71436011,4831.544286,3.99,21.71,11.91111111,271.396524,8.362749461,65.692,0,0,0,31.90866667,4.082800262,8.282817447,11.94223335,4.91292451,1.334169807,0.300192553,7710974,37.143,0.7275,99.926,5633.72,530.6711478,19.64640333,19.91854176,29.002,15205455427,169.8737038,-3.980165217,18.07446678,57.05558462,1.961131375,64387.4
Belgium,1952,45.75077058,25.82987,25.04186875,28.44511754,2.327,9.591278818,10,4.583494124,62.15177981,64.01428604,6670,16396.01095,2324.149193,8.88487011,18.61857135,58.98831615,16686.21025,3.420784834,28.06096746,45,3.580381171,30.22596694,68,0,0,5.483333349,36.17966667,2.48225,1.219249317,1.189442008,0.935668333,0,0.389297378,8710135,285.316,0,100.678,1858.9,1396.271327,10.31216625,26.12881195,18.74923077,1.64662E+11,3067.191684,1.26322664,19.39300917,95.41287692,0.490931004,83541.33333
Belize,1952,5.016074821,25.639535,27.68337875,9.826982202,6.66,0.35018305,0,0.548478415,55.63628576,35.0714283,14890,2176.019598,90.45181153,0.02113616,0,64.0117827,3515.530436,0,0,34.16,3.384964741,5.755797533,55.644,0,0,6.199999809,17.79633333,0.516625096,30.81897951,50.97922134,4.998919964,0,2.659556357,73295,3.191,23.84,93.8425,119889.9069,0,0,19.74076545,91.775,455552305.9,155.309561,-8.350743901,42.74856186,49.19907692,2.337688162,25.66666667
Benin,1952,21.36970409,21.50461,22.3057725,5.610318947,5.829,0.177270413,-1,0.360088971,13.78378887,55.69999967,50610,308.0195342,11.0225693,0.081484321,0,26.36124548,2125.5044,0,0,202.9,4.542101583,0.814870479,33.467,27.24525033,39.87661252,0,18.86233333,0.050577085,15.81544971,25.1135273,6.864229202,0,2.522377972,2264492,20.107,0,63.8845,6809.9352,17.63368122,0,16.79890514,121,1463307945,23.07083799,-13.16667777,25.50226974,27.89521538,5.767238319,1037.666667
Bermuda,1952,18.33333333,26.7497725,29.01280625,29.46040054,0,2.767367617,0,0,26.34129685,0,10,41631.64715,0,0,0,36.13927456,33933.59479,0,0,0,6.819757294,51.02341563,0,0,0,0,0,0,0,0,0,0,0.699015225,38424,724.981,0,103.54625,0,0,0,0,25.63333333,2424289138,0,-9.797977707,0,100,0.702311204,106.3333333
Bhutan,1952,10.55059835,22.0869275,21.4153025,4.34588066,6.67,0.314401134,-10,0.280199253,28.62328052,30.34285736,31410,630.9907071,43.99881312,0.125439808,0,52.33781577,1394.793827,0,0,105.7230769,6.378843728,3.369309548,29.331,0,0,0,19.31733333,0.051,5.696219921,7.370391369,4.020005703,0,2.360349666,180287,3.836,0,63.09125,237213.775,0,0,7.950942685,56.33333333,404506601.1,55.32906831,-20.87231055,17.9458847,14.94958462,6.893997853,184.0666667
Bolivia,1952,31.53689344,23.6362325,25.100055,8.878268006,6.748,0.181740636,-4,0.426400465,25.26852415,58.80000087,600910,988.5131275,38.48795998,19.72303012,0,27.3097495,5354.652694,0,0,98.21428571,130.4607426,4.64469234,40.274,77.96600985,92.19019711,0,19.13466667,0.48229222,4.380421162,7.410184383,1.503151178,0,2.177043568,2824538,2.571,31.385,98.0605,114955.4432,116.3144369,0,15.0163488,99.5,6106018924,60.92454188,-2.041225344,19.60947037,50.23301538,3.35503028,513.3333333
Bosnia and Herzegovina,1952,42.34901961,25.60669375,25.5474525,13.7806304,4.875,4.740402242,-7,1.137218501,31.40396935,83.71428571,21850,1601.685372,133.8706929,3.013773716,0,78.69141101,1947.06639,2.77,27.41,23.54,5.465613727,12.80676448,53.165,96.66309845,99.79393031,0,27.56366667,1.313774991,0.916258572,1.470077597,0.425898204,0,0.398160129,2779107,54.283,0.34,101.787,9457.69,807.4510991,8.139623,19.995827,21.175,5909613155,237.0171807,-47.27023881,3.761750937,34.98029231,2.305878607,17678.46667
Botswana,1952,45.79649921,20.64965,24.746845,12.98591011,6.492,1.539748376,6.818181818,0.950826492,47.16643289,55.57142857,125350,1791.820337,228.3344542,0.497896847,0,49.66415415,1702.482281,0,0,66.41333333,10.37606889,3.153752526,47.451,0,0,0,17.89833333,0.191166667,24.19230652,38.85057068,10.64133835,0,2.678132737,437177,0.752,0,109.5253333,12421.6035,169.4066788,0,21.46588053,58,2768248910,316.0878725,-4.141858866,26.70654106,28.93026154,7.926731549,2433.2
Brazil,1952,27.17218399,24.10327,24.90493375,14.35115903,6.149,0.434654088,5,0.991421506,9.805902493,49.7714277,5459430,3030.215759,168.8510596,10.61956686,4.133333445,9.00926291,4217.88871,0.975,46.7075,69.40666667,178.8582339,11.24761857,50.763,84.90186763,93.19646803,0,21.38866667,0.981584855,20.91672833,38.72276333,3.5707975,0.434800983,2.027027862,57422674,6.744,23.21333333,101.5323333,67522.315,307.820044,4.469778333,14.08522187,82.5,4.35E+11,396.807973,0.585452383,19.20551167,67.41603077,3.288219995,24959
British Virgin Islands,1952,0,25.30214875,26.8315775,0,0,2.697583739,0,0,0,0,0,0,0,0,0,0,4487.886038,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,7548,49.987,0,0,0,0,0,0,46.36666667,0,0,0,0,0,0,44.30555556
Brunei,1952,2.75142315,23.6697125,22.95124375,22.86572461,7.074,5.966138467,0,6.759645482,74.18211695,54.34285791,3970,21482.62027,577.0758272,6.046940029,0,33.3850131,73360.07212,0,0,14.89,16.28974864,22.00380965,57.54,0,0,0,21.62833333,0.731056912,0.915056646,1.188714147,0.646131814,0,3.294633612,54083,9.381,0,99.672125,45599.09,1258.07373,0,0,28.92,5571703354,683.2642429,40.79710385,16.59905243,62.82793846,4.479847727,322.6666667
Bulgaria,1952,53.41040315,25.8222375,25.46925375,23.07131167,2.552,1.288567777,-7,2.758837842,48.56463305,86.82857295,33750,1715.301885,130.0654579,4.336613325,0,52.81248107,4888.573296,0,0,98,24.87837341,15.90808776,59.6,0,0,6.400000095,34.765,2.764142876,2.879913909,4.450138273,1.3405157,0.965481603,0.078878041,7324411,66.038,0,98.6082,2470.67,1027.905354,7.965170417,19.73881829,51.974,14274421531,216.3434888,-4.24784643,11.48995045,60.06823077,1.445670082,9438
Burkina Faso,1952,34.42830166,20.54158375,20.50218625,2.508092973,6.089,0.053152829,-4.846153846,0,8.522267546,83.29999978,62480,172.6799944,10.64613718,5.340215231,0,22.89189745,1086.510483,0,0,176.2,3.847992832,0.349583993,30.707,12.84816893,19.41415165,0,17.563,0.035643024,22.51925087,37.23192215,8.741400719,0,2.38338498,4371948,15.956,0,66.61942857,1761.72,0,0,12.18425259,130.75,1663940662,20.47702477,-14.67465508,33.69688034,11.88295385,5.886147159,558.7435897
Burundi,1952,80.53284008,21.28496125,20.27556125,0.860420246,6.798,0.034504066,-3.583333333,0,9.791792492,95.60000065,1980,144.2340581,3.781681628,4.472863438,0,20.20352517,678.5929174,3.41,26.59,112.7857143,12.84498257,0.2474225,38.881,73.12574578,81.1082129,0,17.31,0.034775153,44.77554703,83.66162109,10.02048969,0,2.091015567,2550737,91.641,95.18,70.9335,2805.82425,0,0,14.28089027,25.66666667,719489869.8,10.80085041,-9.606998705,43.82777786,5.344507692,5.39695218,185.7777778
Cambodia,1952,21.86390589,20.10704,20.49843375,4.270278295,6.946,0.097863201,-3.5,0.2610338,37.98366338,84.17142814,115460,362.5250825,8.288504245,0.104734986,0,41.80482507,1761.781752,3.07,34.87,76.9,4.345153809,0.285819761,40.161,75.59824875,85.42712108,0,18.55633333,0.130511325,21.61433411,39.19595337,6.462769032,0,1.955291684,4555803,25.165,59.68,86.58466667,56440.783,25.91406673,0,9.336230691,46.25,4710434509,29.69465759,-7.261492866,22.96832657,13.80253846,4.352548955,1096.333333
Cameroon,1952,18.56458858,22.66300625,23.128745,4.716040219,5.49,0.060923987,-6.076923077,0.393631606,24.49338356,64.38571494,221160,583.837073,8.730404862,1.794246638,0,23.99142306,2345.33531,2.5,38.68,109.5333333,6.366266078,1.542731831,38.358,54.81268528,75.95765932,0,18.59,0.095374774,19.00482559,30.20295334,8.103664398,0,2.553085647,4634190,9.747,51.78,80.579875,30825.37,26.93962508,0,9.753700886,132.3333333,7193947490,42.06334001,-0.204829022,29.70799255,33.37021538,5.19938112,282.3333333
Canada,1952,7.485814975,26.4293975,25.47558875,17.55090063,3.617,10.98830305,10,7.090820457,29.35390503,73.02857099,3101340,17640.20127,2038.784625,14.3227372,15.28428582,26.65794024,22734.32225,2.627447039,24.78585623,37.1,4.486485447,40.27025797,68.75,0,0,0.985714278,30.80766667,1.8,1.019474,1.32977,0.69775,3.10136313,1.355911599,14518772,1.456,0,99.714,116058.495,3360.541965,4.111656,14.13876212,15.001,4.78462E+11,2894.329644,1.743053299,20.83004,76.17769231,1.704279143,159536.6667
Cayman Islands,1952,8.333333333,0,0,39.29881622,0,7.009924053,0,0,0,0,130,0,0,0,0,0,19426.42493,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,3.863179378,6247,23.663,0,111.789,0,0,0,0,67.2,0,0,0,0,100,3.944820224,209.7857143
Central African Republic,1952,8.009754192,20.877635,20.9469325,0,5.491,0,-4.153846154,0,0,74.69999913,229030,0,0,0.176911497,0,30.17252533,2142.621425,0,0,0,0,0,33.233,42.13479552,54.50468963,0,19.71566667,0,36.04470825,62.6178627,11.91830063,0,0,1353471,0,0,0,59894.43,0,0,6.214223404,116,0,0,-9.44110571,40.31264496,0,0,0
Chad,1952,38.36554704,20.71127875,20.41011875,1.820360194,6.09,0.030551825,-5.076923077,0,21.55272736,58.50000082,123170,210.8622174,5.883628815,0,0,28.87418682,2357.331854,0,0,102.8166667,7.66231537,0.528875728,35.932,27.01782429,39.61523737,0,18.313,0.026853786,23.82643318,39.89586639,8.434020042,0,2.642259298,2519184,1.962,0,51.0958,8865.735,0,0,0,176.6666667,1238702964,18.64884011,-7.949388834,35.50316238,16.96687692,5.039052985,178.2564103
Channel Islands,1952,42.10526316,0,0,0,2.042,0,0,0,0,0,8,42608.26284,0,0,0,0,0,0,0,0,3.844944464,0,69.09,0,0,0,36.59533333,1.238315344,0,0,0,0,0.689030144,103614,531.354,0,0,0,0,0,0,11.33333333,6246111092,0,0,0,33.17623077,0.207530906,0
Chile,1952,21.12109352,25.6309675,25.9033825,18.9134947,4.884,1.679108786,2,1.189188242,25.71445173,43.92857252,158340,3331.937382,203.6419837,3.868834788,0,24.25715951,7879.957578,1.345,44.51,138.2,42.38031365,16.55958693,54.669,96.47007241,98.79077329,2.399999976,24.00366667,0.687711238,4.249776462,7.704079923,0.991051008,0.577501198,1.660117226,6321806,8.355,7.123333333,99.863875,80209.055,301.7561668,9.371555385,17.80705408,80,43631557839,494.1152769,1.160943143,12.788665,80.3566,2.262262258,10615
China,1952,50.03155988,22.1893175,22.34765625,9.034842091,5.973,0.221810341,-8,0.840682187,17.48507578,85.7857132,1770000,528.6101713,33.44500659,18.69326455,0,16.04999866,1184.03034,0,0,50.775,4.497511776,7.946294135,40.405,90.92021038,98.85873002,0,24.515,1.281111112,2.056675196,2.817698002,1.261937857,0.125442128,1.470266397,578489714,60.278,67.4875,87.80557143,2810.4231,85.96111445,0,6.780145136,101,6.41045E+11,74.13962871,1.435077121,20.96404076,25.91747692,3.731620063,128315
Colombia,1952,39.87652096,23.4973025,25.01270375,13.72578898,6.759,0.680641569,-5,0.672932714,15.33337275,62.89999935,615090,2063.071206,172.7237624,6.35277707,0,15.77558236,4288.230192,0.855,45.08,111,18.93991783,9.314060267,50.157,92.46303826,97.65852742,0,19.84833333,1.019275924,47.72370667,89.92293833,7.5493855,0.271254954,2.172507596,12697334,11.149,24.00428571,103.8185,74557.97,306.07036,7.002684167,11.42407461,128,66842478539,249.2739433,-0.336166542,15.35144758,62.89896923,3.296790111,8642.333333
Comoros,1952,66.53225806,21.53194125,21.66032125,1.611136516,5.934,0.128027993,0,0.05432386,14.72848306,72.7285723,80,387.4837568,13.21327058,0.22213077,0,43.28456955,2205.981871,0.91,55.19,100.6166667,2.176383018,1.533022595,40.553,58.20423375,70.94938792,0,18.27133333,0.131224998,11.28646374,17.59652138,5.256560802,0,2.633746248,164338,88.306,64.98,84.226,3146.8,0,0,0,61,188745571.5,20.52643722,-28.5560865,18.19371986,23.40387692,4.136832621,55.56410257
Cook Islands,1952,0,0,0,0,0,1.585599393,0,0,0,0,0,0,282.2686805,0,0,0,0,0,0,125.2,0,0,0,0,0,0,0,0,0.840270817,1.558404207,0.082259342,0,0,0,66.263,0,0,0,0,0,0,0,0,307.2372298,0,8.616690636,0,0,29.7
Costa Rica,1952,40.20923097,24.97873375,25.18498625,7.812549881,6.677,0.379084177,10,0.729366596,34.40949973,44.57142857,23760,3143.028978,258.0176378,32.7644284,0,37.71910951,5254.018942,1.38,34.905,35.33,12.65131062,11.94494602,56.971,93.74861454,97.38144492,0.666666662,20.844,0.889063737,5.456450182,9.120740364,1.813205355,0,2.553283247,1025278,20.064,10.71,101.6334,46820.195,606.7536833,7.448337727,15.72456601,119.2,9612273685,361.5385912,-4.309124961,17.14422464,47.56183077,3.690278015,388.6666667
Cote d'Ivoire,1952,57.1163522,21.78019375,22.444295,7.4907918,6.736,0.45325138,-6.230769231,0.558169927,39.26226567,47.78571483,103280,716.0120048,11.33427016,7.463669342,0,31.82705808,2777.189463,2.82,28.46,131.2933333,7.026079703,0.747288466,31.858,41.44002018,54.61606555,0,18.362,0.096637073,62.40543747,103.4381027,18.19398117,0,3.398559209,2793262,8.662,40.725,62.65733333,9985.135,47.06997455,0,15.3768237,131,7238880649,46.29434143,7.048844623,62.63657379,35.71689231,5.691729413,5017.128205
Croatia,1952,28.50072907,25.7619075,24.93782375,21.25250471,2.797,4.47762669,-7,1.778515054,44.44154695,75.17142704,18850,5432.3951,546.1476519,8.636873331,0,48.17914431,6238.47304,4.5,19.42,16.04,122.6363915,22.26486616,61.024,0,0,9.100000381,34.00833333,2.16439743,2.6941734,3.8480856,1.604558,0,-0.287573719,3900723,68.993,0.095,101.461,22989.13,1228.467378,13.02204667,21.08847887,17.14,22828329411,646.0526579,-3.818211368,14.249768,48.01327692,1.098875275,20203.33333
Cuba,1952,56.6795696,23.79015125,25.14896625,0.411355547,4.218,1.017943102,0,1.261963154,24.52905474,55.04285703,24350,2881.154907,250.4935075,16.62867826,0,31.19998576,11173.07756,0,0,38,1.976587365,5.480279077,59.107,0,0,0,27.01133333,2.932292637,5.131976,7.619474625,2.604709875,0,0.967858104,6177490,55.723,0,100.2823333,3884.3515,297.8867456,15.39984213,0,66.8,30252663634,269.6095463,-6.670931024,12.910018,68.46144615,1.499368726,6288.333333
Cyprus,1952,18.81313131,26.30574375,24.9792125,21.29922344,3.727,0.622415921,8.615384615,1.740756261,49.61629762,60.94285638,1720,10562.85391,487.8262289,10.02600961,0,57.94964459,6310.882375,0,0,10.54,5.999121489,18.42375967,66.518,94.3624702,99.62139416,0,28.42166667,1.782968359,1.05182815,1.5388545,0.59784475,0,1.312239223,506628,54.765,0,100.7855,1191.0415,888.5936021,1.347489,41.79559887,11.6,6908545808,1189.450454,-8.333346967,13.647245,56.71333846,2.853182352,315.3333333
Czech Republic,1952,55.23052544,27.01430375,26.59524625,0,2.711,0,-7,0,0,84.68571472,26370,0,0,10.69192015,3.799999952,63.46998231,13752.2805,4.865,20.165,0,0,0,66.87,0,0,3.166666707,34.53533333,0,1.35400854,1.73803686,0.99598816,0.891828806,0,9036508,0,0,0,0,981.4229056,10.56192467,15.599102,48.078,0,0,-0.668298467,10.6928146,0,0,0
Denmark,1952,66.73812134,25.10348,24.24161875,34.40687784,2.535,5.275271816,10,3.413348075,36.74864478,84.44285693,4860,22012.89317,3410.736777,17.08309496,19.22142853,35.37520108,18071.33163,0,0,27.9,5.187788822,42.24171775,70.78,0,0,1.783333361,35.21966667,2.584285714,0.8512123,0.8936507,0.8058109,2.333721562,0.391638279,4344863,100.823,0,100.834125,1181.83,1784.867825,13.66763,32.1352274,40.9,1.13794E+11,4053.659427,1.032044789,10.01406,82.4322,0.757906354,22920.33333
Djibouti,1952,60.97929249,22.276775,23.1409025,1.953503728,6.306,0.394738191,-3.875,0.167561588,38.77377364,70.95714351,60,860.6400104,33.21649415,0,0,57.93477586,5339.058949,2.37,27.84,92.21,4.393596772,0.816745986,40.853,0,0,0,17.76533333,0.179031627,3.778978348,7.11514473,0.492775142,0,4.723057731,65022,2.803,0,70.6275,1079.35,0,0,0,26,617158088.2,51.07820774,-19.16100222,34.83585358,69.28366154,5.653144748,25.66666667
